Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
7.48,2.87,0.87,1.532,K5III,14.769409,1
7.06,20.63,0.91,0.463,F5V,18.632496,0
7.33,9.37,0.84,1.011,K1IV,17.188698,1
8.53,7.21,1.14,0.909,K0V,17.819675,0
8.4,2.19,0.77,1.014,G8III,15.102221,1
7.48,7.51,0.77,0.466,F5IV/V,16.8582,1
8.7,30.76,1.21,0.798,K0V,21.13993,0
8.37,8.86,1.46,0.595,F7V,18.107168,0
7.5,2.5,0.69,1.703,M1III,14.4897,1
7.39,2.53,0.57,-0.018,B9IV,14.405602,1
8.19,8.21,0.99,0.584,F8/G0V,17.761715,0
8.66,2.38,0.88,0.79,G3III,15.542885,1
6.83,7.84,0.65,1.158,K1/K2III,16.30158,1
9.06,1.6,1.32,1.074,M2III:,15.080601,1
8.79,4.21,1.16,1.127,K2III,16.911411,1
6.43,6.69,0.92,-0.146,B8IIIsp...,15.557131,1
5.93,12.45,0.74,0.141,A1V,16.405846,0
8.21,3.5,1.11,1.087,K0/K1III,15.930341,1
8.85,7.79,2.24,0.631,G3:V: + G2:,18.307688,0
7.79,1.17,0.67,1.45,K3III,13.130929,1
7.58,3.64,0.94,1.271,K1IV,15.385508,1
7.85,10.66,0.99,0.505,F5V,17.988787,0
7.18,8.95,0.6,0.156,A3V,16.939116,0
9.72,6.43,1.39,0.434,F3/F5V,18.761055,0
9.77,6.67,1.5,0.306,A8/A9V,18.890629,0
8.84,4.37,1.17,1.042,K0III,17.042408,1
5.67,10.02,0.71,1.119,K1III,15.674339,1
8.36,2.42,0.93,1.113,K1IIICN...,15.279077,1
8.74,1.92,0.83,1.227,K2III,15.156506,1
6.18,3.25,0.96,1.366,K2III,13.739416,1
10.16,5.68,2.36,0.393,F5V,18.931742,0
7.04,36.18,1.02,0.624,G2/G3V,19.832344,0
5.99,9.79,0.92,1.034,G8III:,15.943913,1
8.22,3.5,1.43,1.064,K1III,15.940341,1
9.86,7.73,3.35,0.789,K0V,19.300898,0
9.1,3.83,1.17,1.169,K1IV,17.015995,1
8.89,2.8,1.1,1.179,K1III,16.12579,1
9.43,1.52,1.51,0.47,F2V,15.339218,0
7.59,25.15,0.97,0.626,G2V,19.59269,0
9.86,2.3,1.46,0.157,A3III,16.668638,1
9.23,0.65,1.34,0.988,K0III,13.294566,1
9.5,5.59,1.5,0.493,G:III/IV+..,18.23706,1
7.59,7.6,0.89,0.508,F3/F5V,16.994068,0
9.26,11.01,0.95,0.675,G3/G5IV/V,19.468937,1
6.41,2.17,0.63,0.998,G3II,13.0922985,1
6.11,2.42,0.79,1.664,M0/M1IIICNp,13.029078,1
7.38,2.89,0.71,1.326,K3III,14.68449,1
6.21,30.26,0.69,0.504,F8IV,18.614346,1
8.5,5.07,1.56,0.406,F2III/IV,17.02504,1
7.88,5.03,0.85,0.473,F3V,16.38784,0
9.1,3.19,0.96,1.113,K0III,16.618954,1
8.65,6.86,1.05,0.471,F3V,17.83162,0
8.41,16.24,0.7,0.588,G2V,19.46293,0
7.81,8.58,0.86,0.481,F5IV,17.477436,1
9.55,4.78,1.13,0.473,F5V,17.94714,0
6.24,7.78,0.81,0.976,K0III,15.694898,1
9.27,0.25,1.21,1.146,K1III,11.259701,1
7.13,3.16,0.96,1.64,M2III,14.628435,1
9.14,2.6,1.43,1.053,K1III,16.214867,1
7.21,7.86,1.07,1.087,K0III,16.687113,1
7.72,18.22,0.95,0.62,G0V,19.022741,0
6.47,8.65,0.94,0.242,A4Vm,16.155079,0
5.57,11.17,0.72,1.043,G9III,15.8102665,1
6.32,7.0,0.74,0.738,G4IV...,15.54549,1
7.78,6.49,0.82,0.417,F3IV/V,16.841223,1
9.2,8.35,1.16,0.811,G8V,18.808432,0
9.32,4.32,1.37,0.549,F6V,17.497417,0
8.21,2.98,1.01,1.339,K3III,15.581081,1
7.05,3.15,0.72,-0.122,B5V,14.5415535,0
9.26,6.75,1.19,0.671,G3V,18.406519,0
2.28,59.89,0.56,0.38,F2III-IV,16.16677,1
9.3,4.36,1.46,0.972,K2III,17.497433,1
8.89,1.97,1.11,1.033,G8III,15.362331,1
9.6,7.75,1.28,0.446,F6V,19.046509,0
7.07,19.28,0.79,0.644,G2III,18.495535,1
6.01,8.56,1.17,0.203,A7IV,15.672369,1
5.42,14.57,1.34,0.414,F3V,16.237297,0
9.11,11.89,1.31,0.83,G8/K0V,19.485909,0
8.24,1.42,1.15,0.08,B5V,14.001442,0
3.88,23.28,0.98,1.013,K0III,15.714915,1
7.94,13.8,1.3,0.66,G3V,18.639397,0
8.52,16.26,0.98,0.687,G3V,19.575603,0
7.59,5.36,0.88,1.005,G8IV,16.235825,1
9.17,1.78,1.37,1.029,K1III,15.4221,1
8.08,4.57,0.82,1.068,K1III,16.379581,1
9.8,3.03,1.5,0.524,F5/F6V,17.207214,0
8.92,8.17,1.89,0.499,F5V,18.48111,0
9.91,4.45,1.34,0.355,F0V,18.1518,0
9.42,4.76,2.01,1.565,M1Ibpev comp,17.808035,1
8.37,3.25,1.5,0.952,G8III,15.929417,1
7.4,4.31,0.7,1.571,M2III,15.572386,1
8.35,6.9,1.41,0.437,F3/F5V,17.544247,0
9.53,23.86,1.59,0.965,K1/K2V,21.41835,0
8.57,13.92,1.11,0.644,G3V,19.288195,0
8.84,17.08,1.86,0.833,K1V,20.00244,0
6.34,7.37,0.57,0.164,A6V,15.677338,0
8.32,18.8,1.05,0.595,G2/G3V,19.69079,0
8.78,8.36,0.83,1.011,K1IV/V,18.391031,1
7.19,4.44,0.79,0.974,K1II,15.426914,1
7.93,4.37,0.77,0.964,K0III,16.132408,1
7.66,6.14,0.89,0.139,A2V,16.600842,0
5.54,10.04,0.86,-0.064,B9V,15.548669,0
5.29,13.45,0.5,1.049,K1/K2III,15.933611,1
8.13,9.63,0.81,0.456,F3V,18.048132,0
9.08,1.56,0.89,1.031,G8III/IV,15.045623,1
7.88,11.15,0.68,0.476,F5V,18.116375,0
9.37,4.95,1.42,0.409,F0V,17.843025,0
6.97,3.21,0.6,1.377,K3III,14.502525,1
8.56,8.5,2.9,0.524,F5V,18.207096,0
9.34,-2.57,1.52,0.815,G8V,16.389666,0
9.47,6.1,1.56,0.526,F7V,18.396648,0
8.91,3.93,1.13,0.356,F0III,16.881962,1
7.83,1.12,0.83,1.311,G8III,13.07609,1
9.37,5.26,0.97,0.411,F2/F3V,17.97493,0
5.84,18.18,0.92,0.973,K1III,17.13797,1
5.01,3.24,0.68,0.405,F2II,12.562725,1
9.81,3.85,1.39,0.437,F3V,17.737305,0
9.5,7.14,1.38,0.423,F3/F5V,18.768492,0
9.32,4.82,1.18,0.511,F5V,17.735235,0
8.92,13.53,1.28,0.578,G2V,19.576488,0
8.38,10.15,1.04,0.508,F7V,18.41233,0
9.49,4.92,3.74,1.232,K2III:,17.949825,1
8.35,6.17,1.02,0.528,F7V,17.301426,0
7.11,3.65,0.87,1.528,M4III:,14.921465,1
9.87,4.11,2.38,0.503,F2V,17.939209,0
8.24,12.91,1.06,0.491,F6V,18.79463,0
6.74,6.52,0.73,-0.074,B7IV,15.811237,1
6.83,4.74,0.76,1.429,K4III,15.208892,1
6.7,1.66,0.61,-0.017,B1V,12.80054,0
8.67,3.45,1.27,1.037,K0III,16.359097,1
8.73,5.51,0.84,0.563,F7IV,17.435757,1
6.66,15.06,0.7,0.372,F3/F5IV+...,17.549126,1
8.97,1.74,2.12,0.674,B7IIIe+K3III,15.172747,1
8.55,4.38,1.15,0.692,G3V,16.75737,0
5.84,15.35,0.74,1.0,K0III,16.770542,1
8.68,7.95,1.08,0.588,G2V,18.181835,0
8.27,1.62,0.92,0.146,B7V,14.317575,0
7.68,3.48,1.04,1.028,K0III,15.387896,1
9.4,9.43,1.0,0.551,F5IV,19.272558,1
6.89,4.7,0.82,0.951,K0III,15.25049,1
